DATE CREATED
2020-11-23T10:03:07+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 11

UOM DEFINITIONS
Degrees Celsius

STATION
Square Rocks
LATITUDE
-23.09862
LONGITUDE
150.88554

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
21-NOV,8,25.406306282722515,,,25.3298,,24.8015,25.8606,26.4054,72.901,24.099,24.6965,,,24.5163,25.8335,25.3706,26.0869,25.6917,25.907,25.1237,24.2751,25.8581,25.7249
22-NOV,8,25.512720052083335,,,25.0304,,24.8485,26.0271,26.4981,66.6279,24.1904,24.9242,,,24.3465,25.9719,25.39,26.2479,25.9259,26.1123,25.2162,24.1609,25.9428,25.7103
23-NOV,8,25.57469973474801,,,24.8838,,24.9107,26.176,26.2223,62.9127,24.4048,25.0419,,,24.2074,26.3352,25.4322,26.2431,25.9964,26.3146,25.3322,24.1621,26.2189,25.7634
24-NOV,8,25.64629442896936,,,24.814,,25.1465,26.305,25.8438,62.5021,24.6471,25.1325,,,24.0676,26.6896,25.5149,26.4763,26.1456,26.5217,25.6505,24.2655,26.1801,25.8544
25-NOV,8,25.612928645833332,,,24.8038,,25.1146,26.1446,25.7458,63.9313,24.816,25.2192,,,24.0356,26.8309,25.6085,26.4365,26.3402,26.7752,25.9002,24.5496,26.2177,25.8872
26-NOV,8,25.653588541666668,,,24.71,,25.341,26.0988,25.6329,66.4796,24.9994,25.1867,,,24.1216,26.8929,25.7037,26.2972,26.5136,26.9292,26.003,24.6486,26.3818,26.0404
27-NOV,8,25.699028125,,,24.7079,,25.5444,26.0346,25.5277,65.1181,25.2358,25.2267,,,24.2708,27.0808,25.7822,26.3831,26.6838,27.0739,25.934,24.9102,26.323,26.1979
28-NOV,8,25.738165104166665,,,24.9346,,25.684,25.8421,25.5008,61.5575,25.4427,25.2775,,,24.4038,27.3082,25.8707,26.3854,26.6416,27.0969,25.9842,24.9889,26.5441,26.3816
29-NOV,8,25.812328385416667,,,25.0677,,25.9046,25.6748,25.6802,61.0281,25.6548,25.3525,,,24.4798,27.2009,25.9559,26.3473,26.488,26.9969,26.039,25.0651,26.4798,26.3646
30-NOV,8,25.91031953125,,,25.2915,,25.9333,25.6588,25.835,61.8288,25.8038,25.4269,,,24.4294,27.2087,26.0877,26.366,26.1683,26.8312,26.1706,25.102,26.6675,26.3877
