DATE CREATED
2020-11-23T10:01:40+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 9

UOM DEFINITIONS
Degrees Celsius

STATION
Cleveland Bay
LATITUDE
-19.13866
LONGITUDE
146.899

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
26-DEC,9,28.75650277777778,,25.8396,28.0104,30.4938,29.2025,29.9619,29.8206,29.2283,27.7631,29.804,29.5781,29.8715,27.2458,,28.9844,28.1928,29.5903,,29.3039,29.6117,27.9116,28.3857
27-DEC,9,28.88105787037037,,25.8927,28.4629,30.985,29.326,30.1438,29.6873,29.7404,28.1285,29.1146,29.5694,29.8906,27.2444,,29.0177,28.3571,29.6477,,29.1609,29.6955,27.8307,28.3502
28-DEC,9,28.965821296296298,,26.499,28.7169,31.3056,30.3571,29.7154,29.7869,28.1742,28.5721,29.7198,29.9577,27.314,,29.1527,28.5284,29.8464,,29.1516,29.8359,27.7713,28.1714
29-DEC,9,29.011001157407406,,27.7496,28.9713,31.566,,30.0319,29.7425,29.6663,27.921,28.3227,29.7546,30.1471,27.8179,,29.4035,28.7462,29.9193,,29.1501,29.8585,27.6115,28.0802
30-DEC,9,28.924977546296297,,27.9273,29.005,31.6133,,29.2558,29.5583,29.8402,27.7823,28.1327,29.8504,30.1823,28.9975,,29.4793,28.9781,30.1191,,29.2557,29.9802,27.555,27.8729
31-DEC,9,28.89825925925926,,28.2558,28.3871,31.5281,,29.2663,29.0431,29.719,27.8502,28.1606,29.8631,29.655,29.3854,,29.035,29.1637,30.4061,,29.4737,30.0314,27.4723,27.9279
01-JAN,8,28.59651607142857,,28.6598,27.9596,31.4681,,29.3267,28.7758,28.9098,27.9244,28.4226,29.825,29.2427,28.7396,,28.7608,29.3634,30.377,,29.666,30.045,27.333,28.2699
02-JAN,7,28.621438392857144,,28.6035,27.5335,31.4725,,29.5021,28.6054,28.9383,27.9977,28.866,29.7219,29.2056,28.6377,,28.8226,29.4843,30.1573,,29.8593,30.0404,27.3187,28.5234
03-JAN,7,28.785289285714285,,28.6873,27.3567,31.4613,,29.6777,28.906,29.0848,28.0469,29.0685,29.7971,29.2617,28.7065,,29.0473,29.5554,29.8197,,29.9255,30.1564,27.3244,28.8568
04-JAN,7,28.873604166666667,,28.6477,27.2342,31.61,,29.6283,29.0575,29.2356,28.1602,29.369,29.4433,29.3629,28.8681,,28.8876,29.6656,29.5565,,30.1791,30.1845,27.4029,28.653
05-JAN,7,28.96626488095238,,28.6875,27.1396,31.6594,,29.8094,29.2448,29.3523,28.2013,29.5581,28.8467,29.5304,29.3556,,28.6764,29.9014,29.6172,,30.0336,29.9556,27.5796,28.6026
06-JAN,7,29.14222857142857,,28.8613,27.2394,31.6838,,30.065,29.5681,29.4631,28.23,29.7167,28.9192,29.7756,29.7844,,28.7463,30.1141,29.2982,,29.8753,29.3834,27.7806,28.8636
07-JAN,7,29.33143660714286,,29.1394,27.304,31.5379,,30.2421,29.966,29.6042,28.4333,29.8627,29.1102,29.8946,30.1513,,28.4265,30.3266,28.7494,,29.8144,29.6468,27.9705,28.8523
08-JAN,7,29.497519642857142,,29.2744,27.5479,31.5577,,30.6769,30.3104,29.8054,28.641,29.6206,29.1613,29.8752,30.195,,28.1,30.2115,28.3634,,29.4249,29.6988,28.0744,28.7042
09-JAN,7,29.549763392857145,,29.229,27.7138,31.8256,,31.0265,30.1433,29.705,28.874,28.9933,29.0679,29.5935,30.5419,,28.2476,29.8087,28.2087,,29.1329,29.6894,28.2022,28.6684
10-JAN,7,29.50150089285714,,29.1925,27.7633,31.8281,,31.1325,29.5115,29.6004,29.1215,28.8896,28.7931,29.1858,30.4681,,28.5768,29.8345,28.3311,,28.9685,29.7152,28.1926,28.6121
11-JAN,7,29.393804166666666,,28.859,27.8381,31.7788,,31.2196,29.0279,29.4154,29.301,29.0944,28.6569,28.885,30.389,,28.958,29.5896,28.5665,,29.0762,29.5494,28.1178,28.6033
12-JAN,7,29.212774107142856,,28.4408,27.9404,31.644,,30.9727,28.7902,29.1098,29.5063,29.2798,28.1977,28.8033,29.984,,29.2686,29.257,28.7871,,29.2731,29.4946,27.9683,28.7485
13-JAN,7,28.85079136904762,,28.104,27.905,30.9129,,30.6804,28.7,28.9413,29.564,29.0948,27.3383,28.6271,29.8996,,29.4996,29.025,29.2074,,29.4152,29.6979,27.9,28.8382
14-JAN,8,28.564545170454547,,27.9806,27.8925,30.4702,30.4277,28.5642,28.9929,29.6702,28.8058,26.8515,28.789,29.6935,,29.5789,28.779,29.305,,29.4857,29.8425,27.6941,28.7535
15-JAN,8,28.537588020833333,,28.2221,27.9771,30.635,28.7127,29.9938,28.7017,28.9625,29.7642,28.3633,27.1688,28.9708,29.6219,,29.5776,28.4412,29.4446,,29.4396,29.9401,27.668,28.9425
16-JAN,8,28.762155208333333,,28.241,28.2985,30.3444,28.6871,29.5004,28.9242,28.7813,29.6144,28.2052,27.6406,29.0108,29.5102,,29.5577,28.1933,29.6074,,29.3909,29.7742,27.7388,29.0759
17-JAN,8,28.745680989583335,,28.2581,28.4396,30.231,28.6296,29.7348,29.1038,28.7552,29.209,28.5906,27.8669,29.2252,29.6992,,29.3751,28.0438,29.8323,,29.5383,29.2108,27.8153,29.351
18-JAN,8,28.75394635416667,,28.0844,28.68,30.006,28.4254,30.5188,29.4288,28.8763,28.7575,29.2421,28.3704,29.3258,29.9631,,29.5528,28.182,30.0097,,29.6955,28.7644,27.7562,29.3347
19-JAN,8,28.68564921875,,27.9788,29.0238,29.126,28.4325,30.4354,29.5915,29.1681,28.6554,29.5442,28.1773,29.7444,29.8102,,29.6298,28.4175,30.357,,29.9833,28.3611,27.8689,29.8001
