DATE CREATED
2020-11-23T10:02:06+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #DVY1"

UOM DEFINITIONS
Degrees Celsius

STATION
Davies Reef
LATITUDE
-18.83162
LONGITUDE
147.6345

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
28-DEC,14,28.07664732142857,28.6788,27.3006,28.0021,29.2177,28.3119,28.856,27.876,28.7406,27.4314,27.6699,29.2456,28.5451,28.4205,28.539,28.2293,28.0664,28.7189,28.4465,28.3398,28.5975,27.7441,28.1004
29-DEC,14,28.089043154761903,28.8279,27.4508,27.965,29.2021,28.1067,28.7542,28.2348,28.6042,27.2556,27.6654,29.0892,28.7148,28.7072,28.4047,28.2084,28.1106,28.7814,28.2756,28.3263,28.6307,27.9289,27.9266
30-DEC,14,28.072041666666667,28.9273,27.5173,27.9715,29.3106,27.8629,28.2694,28.1917,28.5585,27.2499,27.662,29.1267,28.6089,28.8322,28.3015,28.261,28.0683,29.0863,27.7035,28.4974,28.744,27.9988,27.9664
31-DEC,14,27.859069105691056,28.7313,27.559,27.864,27.8035,27.3381,27.7719,29.0519,28.3179,28.859,28.168,27.9069,28.0809,29.2292,27.7619,28.6774,28.8638,27.7876,28.206
01-JAN,14,27.960184962406014,28.6552,27.6888,27.6557,29.4289,27.9174,28.0021,27.3689,28.2512,27.4286,28.0202,28.9545,28.1186,28.5292,28.0624,27.7208,28.0505,29.1233,27.8399,28.9243,28.9015,27.8069,28.2619
02-JAN,14,27.99974107142857,28.6733,27.9258,27.4329,29.4475,27.9571,28.1027,27.3481,28.2871,27.4461,28.2404,29.0292,28.193,28.3322,27.9265,27.9621,28.0788,28.9646,27.9539,28.9797,28.7277,27.8628,28.3511
03-JAN,14,28.108614583333335,28.7773,28.0792,27.3098,29.4792,28.1263,28.34,27.725,28.3051,27.5365,28.3483,29.2927,28.3372,28.2915,27.875,28.0591,28.1483,28.8192,28.0642,29.2275,28.7006,27.8672,28.4335
04-JAN,15,28.20316903409091,28.9931,28.0679,27.2594,29.5254,28.3525,28.524,28.0629,28.4028,27.5692,28.4285,29.0522,28.4985,28.4519,27.8269,27.9792,28.2215,28.6378,28.2128,29.4347,28.8727,27.9533,28.4203
05-JAN,15,28.259874125874127,28.9713,28.0456,27.2369,29.5819,28.395,28.6602,28.256,28.4709,27.5896,28.5715,28.9277,28.531,28.6689,27.9443,27.8245,28.3495,28.4938,28.3834,29.3281,28.755,27.949,28.4208
06-JAN,15,28.321436764705883,28.695,28.1756,27.1969,29.5256,28.1588,28.949,28.616,28.5575,27.56,28.6783,28.8001,28.5778,28.9237,28.0981,27.8251,28.3844,28.1474,28.5119,29.212,28.6578,28.0756,28.5943
