"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2014-15","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","10570345","0","515976","1362399","362502","8329468","307185"
"2014-15","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","28592","22692","0","0","5900","0","0"
"2014-15","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2014-15","Media Entertainment & Arts Alliance","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","0","0","0","0","0","0","0"
"2014-15","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2014-15","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","13460","0","13460","0","0","0","0"
"2014-15","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2014-15","Shop Distributive & Allied Employees Association - VIC Branch","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","13171","13171","0","0","0","0","0"
"2014-15","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2014-15","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2014-15","Shop Distributive and Allied Employees Association (QLD Branch)","PO Box 490","","SPRING HILL","QLD","4004","","0","0","0","0","0","0","0"
"2014-15","The Climate Institute","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","25310","0","0","25310","0","0","0"
"2014-15","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2014-15","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2014-15","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","1212","1212","0","0","0","0","0"
"2014-15","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","240276","115304","119432","0","5540","0","0"
"2014-15","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","510279","0","254650","254650","979","0","0"
"2014-15","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","432566","0","432566","0","0","0","235000"
"2013-14","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","22851","0","22851","0","0","0","0"
"2013-14","Australian Automobile Association","GPO Box 1555","","CANBERRA","ACT","2601","","21773","0","0","0","0","21773","0"
"2013-14","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","100862","19448","0","0","21450","59964","150000"
"2013-14","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","91429","0","56402","0","116","34911","0"
"2013-14","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","5572219","32832","109198","4720699","267314","442176","4544166"
"2013-14","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","1332368","24035","383165","828688","96480","0","0"
"2013-14","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","465804","0","146565","0","0","319239","0"
"2013-14","Australian Federated Union of Locomotive Employees","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2013-14","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","251170","251170","0","0","0","0","0"
"2013-14","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2013-14","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2013-14","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","1131638","0","994842","0","230","136566","0"
"2013-14","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2013-14","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","78127","78127","0","0","0","0","0"
"2013-14","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","25196","0","24678","518","0","0","0"
"2013-14","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2013-14","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","6831419","0","847333","1504178","1275","4478633","115620"
"2013-14","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","53641","53641","0","0","0","0","0"
"2013-14","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2013-14","Media Entertainment & Arts Alliance","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","412836","23158","389678","0","0","0","0"
"2013-14","National Tertiary Education Union (NTEU)","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","1031409","99931","92775","790319","30394","17990","0"
"2013-14","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","185662","4177","68619","0","47325","65541","0"
"2013-14","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","71979","0","63569","0","0","8410","0"
"2013-14","New South Wales Nurses and Midwives' Association","50 O'Dea Avenue","","WATERLOO","NSW","2017","","1733717","0","25140","1682177","26400","0","0"
"2013-14","Queensland Teachers Union of Employees","PO Box 1750","","MILTON","QLD","4064","","39929","0","0","0","0","39929","0"
"2013-14","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2013-14","Shop Distributive & Allied Employees Association - VIC Branch","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","93131","77035","0","0","16096","0","0"
"2013-14","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2013-14","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","23056","0","456","0","22600","0","0"
"2013-14","Shop Distributive and Allied Employees Association (QLD Branch)","PO Box 490","","SPRING HILL","QLD","4004","","90646","16042","0","0","0","74604","0"
"2013-14","The Climate Institute","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","81700","9650","27500","5900","38650","0","220000"
"2013-14","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2013-14","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2013-14","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","103266","33266","28200","0","41800","0","0"
"2013-14","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","627982","207284","165998","0","67815","186885","0"
"2013-14","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","2488506","0","26520","2423751","38235","0","5000000"
"2013-14","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","741683","0","695373","0","46310","0","1371000"
"2012-13","AEU NSW Teachers Federation","Locked Bag 3010","","DARLINGHURST","NSW","1300","","918682","0","107243","641337","0","170102","0"
"2012-13","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","19354","0","19354","0","0","0","0"
"2012-13","Australian Automobile Association","GPO Box 1555","","CANBERRA","ACT","2601","","1123131","173971","26214","729333","64694","128919","1499997"
"2012-13","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","30081","0","9561","0","18450","2070","0"
"2012-13","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","929850","68550","791790","0","21323","48187","3749302"
"2012-13","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","6209465","18174","1030037","5026453","134801","0","0"
"2012-13","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","101790","0","101790","0","0","0","0"
"2012-13","Australian Federated Union of Locomotive Employees","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2012-13","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","255897","255897","0","0","0","0","0"
"2012-13","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2012-13","Australian Trucking Association Ltd","Minter Ellison Building","25 National Circuit","FORREST","ACT","2603","","37352","0","10040","0","11304","16008","77000"
"2012-13","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","13637","0","13637","0","0","0","0"
"2012-13","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","251463","0","251235","0","228","0","0"
"2012-13","Campaign for Small Business Pty Ltd","PO Box 6005","","KINGSTON","ACT","2604","","870286","0","495469","374817","0","0","0"
"2012-13","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2012-13","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","100551","48055","0","0","52496","0","0"
"2012-13","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","32958","0","32420","538","0","0","0"
"2012-13","Council of Mayors (SEQ) Pty Ltd","PO Box 12995","","GEORGE STREET","QLD","4003","","221780","0","6422","213159","0","2199","0"
"2012-13","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2012-13","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","3035260","0","223673","213782","4070","2593735","40000"
"2012-13","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","78274","78274","0","0","0","0","0"
"2012-13","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2012-13","Imperial Tobacco Australia","4-8 Inglewood Place","","BAULKHAM HILLS","NSW","2153","","54479","0","54479","0","0","0","0"
"2012-13","Media Entertainment & Arts Alliance","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","300722","22019","278703","0","0","0","0"
"2012-13","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","1794303","0","449450","1344853","0","0","0"
"2012-13","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","43908","0","605","0","0","43303","0"
"2012-13","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","20236","0","20236","0","0","0","0"
"2012-13","New South Wales Nurses and Midwives' Association","50 O'Dea Avenue","","WATERLOO","NSW","2017","","45848","0","0","27522","18326","0","0"
"2012-13","NSW Business Chamber Limited","140 Arthur Street","","NORTH SYDNEY","NSW","2060","","773228","0","157448","99000","0","516780","0"
"2012-13","Philip Morris Limited","Level 6, 30 Convention Centre Place","","SOUTH WHARF","VIC","3006","","49741","30382","5103","0","14256","0","0"
"2012-13","Queensland Nurses and Midwives' Union","106 Victoria Street","","WEST END","QLD","4101","","350173","350173","0","0","0","0","0"
"2012-13","Queensland Teachers Union of Employees","PO Box 1750","","MILTON","QLD","4064","","121684","0","0","0","0","121684","0"
"2012-13","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2012-13","Shop Distributive & Allied Employees Association - VIC Branch","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","0","0","0","0","0","0","0"
"2012-13","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2012-13","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2012-13","Shop Distributive and Allied Employees Association (QLD Branch)","PO Box 490","","SPRING HILL","QLD","4004","","0","0","0","0","0","0","0"
"2012-13","The Climate Institute","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","27250","0","0","0","27250","0","0"
"2012-13","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2012-13","The Wilderness Society Limited","132 Davey Street","","HOBART","TAS","7000","","25186","0","25186","0","0","0","0"
"2012-13","Transport Workers Union of Australia SA/NT Branch","PO Box 137","","WELLAND","SA","5007","","0","0","0","0","0","0","0"
"2012-13","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2012-13","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","26996","17320","1716","0","7960","0","0"
"2012-13","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","1099114","344375","142204","593479","15449","3607","0"
"2012-13","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","4753519","0","126043","4528976","98500","0","0"
"2011-12","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","60105","0","28755","0","31350","0","60105"
"2011-12","Association of Mining and Exploration Companies","PO Box 948","","WEST PERTH","WA","6872","","256989","0","256989","0","0","0","0"
"2011-12","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","0","0","0","0","0","0","0"
"2011-12","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","424131","0","0","27500","361940","34691","102721"
"2011-12","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","1795697","0","214341","1464756","116600","0","0"
"2011-12","Australian Federated Union of Locomotive Employees","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2011-12","Australian Trade & Industry Alliance Pty Ltd","GPO Box 240","","CANBERRA","ACT","2601","","9261234","0","1725074","7536160","0","0","0"
"2011-12","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2011-12","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","96868","0","96650","0","218","0","0"
"2011-12","CEPU - Electrical Division QLD & NT ","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","41537","41537","0","0","0","0","0"
"2011-12","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","24846","0","23881","965","0","0","0"
"2011-12","Council of Mayors (SEQ) Pty Ltd","PO Box 12995","","GEORGE STREET","QLD","4003","","71500","0","0","0","0","71500","0"
"2011-12","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2011-12","Electrical Trades Union of Employees Queensland","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","14950","0","14950","0","0","0","0"
"2011-12","Gaming Technologies Association Limited","Level 34","50 Bridge Street","SYDNEY","NSW","2000","","780592","0","155219","555883","69490","0","0"
"2011-12","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","1782718","0","368349","500601","22409","891359","60000"
"2011-12","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","55474","35331","0","0","20143","0","0"
"2011-12","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2011-12","Imperial Tobacco Australia","4-8 Inglewood Place","","BAULKHAM HILLS","NSW","2153","","40292","0","40292","0","0","0","0"
"2011-12","Media Entertainment & Arts Alliance","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","181252","16719","164533","0","0","0","0"
"2011-12","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","792262","0","72366","719896","0","0","0"
"2011-12","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2011-12","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","12059","0","12059","0","0","0","0"
"2011-12","Queensland Resources Council","Level 13","133 Mary Street","BRISBANE","QLD","4000","","29591","0","29591","0","0","0","0"
"2011-12","Registered Clubs Association of NSW (t/as ClubsNSW)","Level 8, 51 Druitt Street","","SYDNEY","NSW","2000","","3478581","0","695449","2477376","305756","0","2434823"
"2011-12","Sanofi-Aventis Australia Pty Ltd","Locked Bag 2227","","NORTH RYDE BC","NSW","1670","","0","0","0","0","0","0","0"
"2011-12","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2011-12","Shop Distributive & Allied Employees Association - VIC Branch","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","0","0","0","0","0","0","0"
"2011-12","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2011-12","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2011-12","Shop Distributive and Allied Employees Association (QLD Branch)","PO Box 490","","SPRING HILL","QLD","4004","","0","0","0","0","0","0","0"
"2011-12","The Climate Institute","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","0","0","0","0","0","0","0"
"2011-12","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2011-12","The Wilderness Society Limited","132 Davey Street","","HOBART","TAS","7000","","32943","0","32943","0","0","0","0"
"2011-12","Transport Workers Union of Australia SA/NT Branch","PO Box 137","","WELLAND","SA","5007","","0","0","0","0","0","0","0"
"2011-12","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2011-12","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","214099","126004","83595","0","4500","0","0"
"2011-12","Western Australian Prison Officers' Union of Workers","63 Railway Parade","","MT LAWLEY","WA","6050","","0","0","0","0","0","0","0"
"2010-2011","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","9162640","0","6275645","2196062","690933","0","9164640"
"2010-2011","Association of Mining and Exploration Companies","PO Box 948","","WEST PERTH","WA","6872","","2259443","0","387286","1856683","0","15474","525000"
"2010-2011","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","142768","0","0","0","2500","140268","143636"
"2010-2011","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","242426","0","88000","31358","33172","89896","0"
"2010-2011","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","6512428","111628","279068","5692182","376404","53146","2175502"
"2010-2011","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","1729981","0","20639","1624862","84480","0","0"
"2010-2011","Australian Federated Union of Locomotive Employees","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2010-2011","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","141107","3983","3088","0","0","134036","0"
"2010-2011","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","65927","0","0","0","0","65927","0"
"2010-2011","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","82161","0","60675","11735","9751","0","0"
"2010-2011","BERWICK RANGES 500 CLUB","P O BOX 280","","NARR WARREN","VIC","3805","","127500","127500","0","0","0","0","0"
"2010-2011","CEPU - Electrical Division QLD & NT ","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2010-2011","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2010-2011","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","50842","15805","32113","2924","0","0","0"
"2010-2011","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","25836","0","25836","0","0","0","0"
"2010-2011","Electrical Trades Union of Employees Queensland","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2010-2011","EMILY's List Australia","Level 2, Queen Victoria Women's Centre","210 Lonsdale Street","MELBOURNE","VIC","3000","","25290","7128","10828","0","7334","0","0"
"2010-2011","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","5054795","0","699265","1550617","28680","2776233","1215000"
"2010-2011","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","51931","51931","0","0","0","0","0"
"2010-2011","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","79700","0","0","0","0","79700","0"
"2010-2011","Imperial Tobacco Australia","4-8 Inglewood Place","","BAULKHAM HILLS","NSW","2153","","4257134","0","1499347","2731817","0","25970","0"
"2010-2011","Media Entertainment & Arts Alliance","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","313529","17090","296439","0","0","0","0"
"2010-2011","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","3997959","0","699267","3298692","0","0","0"
"2010-2011","National Civic Council","PO Box 251","","BALWYN","VIC","3103","","44015","0","44015","0","0","0","0"
"2010-2011","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","19616","0","0","0","19616","0","0"
"2010-2011","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","13505","0","13505","0","0","0","0"
"2010-2011","New South Wales Nurses and Midwives' Association","50 O'Dea Avenue","","WATERLOO","NSW","2017","","1676258","0","17907","1587796","12100","58455","418121"
"2010-2011","Philip Morris Limited","Level 6, 30 Convention Centre Place","","SOUTH WHARF","VIC","3006","","490000","0","0","0","0","490000","0"
"2010-2011","Public Service Association of New South Wales","GPO Box 3365","","SYDNEY","NSW","2001","","55333","30452","0","0","0","24881","0"
"2010-2011","Queensland Council of Unions (QCU)","Level 5","16 Peel Street","SOUTH BRISBANE","QLD","4101","","55877","0","22415","32442","1020","0","0"
"2010-2011","Queensland Nurses Union of Employees","GPO Box 1289","","BRISBANE","QLD","4001","","412821","16091","11730","385000","0","0","0"
"2010-2011","Registered Clubs Association of NSW (t/as ClubsNSW)","Level 8, 51 Druitt Street","","SYDNEY","NSW","2000","","948701","0","249609","514224","184868","0","216197"
"2010-2011","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","23659","0","23659","0","0","0","0"
"2010-2011","Shop Distributive & Allied Employees Association - VIC Branch","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","49162","28955","0","0","20207","0","0"
"2010-2011","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2010-2011","Shop Distributive and Allied Employees Association (QLD Branch)","PO Box 490","","SPRING HILL","QLD","4004","","17653","0","0","0","17653","0","0"
"2010-2011","The Climate Institute","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","237895","55446","61942","101473","19034","0","0"
"2010-2011","The Wilderness Society Limited","132 Davey Street","","HOBART","TAS","7000","","15245","1992","13253","0","0","0","0"
"2010-2011","Transport Workers Union of Australia SA/NT Branch","PO Box 137","","WELLAND","SA","5007","","27452","0","27452","0","0","0","0"
"2010-2011","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2010-2011","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","225931","0","152167","73764","0","0","0"
"2010-2011","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","657359","308723","105153","50625","86876","105982","0"
"2010-2011","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","214697","0","20936","0","48867","144894","0"
"2009-2010","Association of Mining and Exploration Companies","PO Box 948","","WEST PERTH","WA","6872","","273996","0","14175","257921","0","1900","1785000"
"2009-2010","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","78441","0","0","0","0","78441","0"
"2009-2010","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","21702","0","7135","0","14567","0","0"
"2009-2010","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","2117586","1151168","209054","44030","547304","166030","214914"
"2009-2010","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","78545","0","23041","0","55504","0","0"
"2009-2010","Australian Federated Union of Locomotive Employees","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2009-2010","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","66360","0","0","0","0","66360","0"
"2009-2010","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","24637","0","24637","0","0","0","0"
"2009-2010","BHP Billiton Limited","180 Lonsdale Street","","MELBOURNE","VIC","3000","","4210755","0","4126790","0","83965","0","0"
"2009-2010","CEPU - Electrical Division QLD & NT ","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2009-2010","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","89749","0","29539","0","0","60210","0"
"2009-2010","CFMEU Mining & Energy Division - National Office","PO Box Q1641","","SYDNEY","NSW","1230","","0","0","0","0","0","0","0"
"2009-2010","Electrical Trades Union of Employees Queensland","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2009-2010","EMILY's List Australia","Level 2, Queen Victoria Women's Centre","210 Lonsdale Street","MELBOURNE","VIC","3000","","15773","378","785","0","14610","0","12000"
"2009-2010","Galaxy Research","PO Box 5272","","WEST CHATSWOOD","NSW","1515","","0","0","0","0","0","0","0"
"2009-2010","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","1962406","0","48285","204125","27441","1682555","97000"
