"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2017-18","The Wilderness Society Limited","132 Davey Street","","HOBART","TAS","7000","","8338","0","8338","0","0","0","0"
"2017-18","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2017-18","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2017-18","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","167618","39143","52101","47179","0","29195","0"
"2017-18","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","310342","0","172630","0","137712","0","0"
"2017-18","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","0","0","0","0","0","0","0"
"2016-17","AEU NSW Teachers Federation","Locked Bag 3010","","DARLINGHURST","NSW","1300","","516512","341643","45730","69565","0","59574","0"
"2016-17","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","888941","7430","249030","156920","298916","176645","4690753"
"2016-17","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","894372","150592","215575","358122","92950","77133","0"
"2016-17","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","371934","0","87014","0","0","284920","0"
"2016-17","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","0","0","0","0","0","0","0"
"2016-17","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2016-17","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2016-17","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","264908","0","264908","0","0","0","0"
"2016-17","Business Council of Australia","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","148199","0","0","148199","0","0","0"
"2016-17","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","217500","217500","0","0","0","0","0"
"2016-17","Council of Mayors (SEQ) Pty Ltd","PO Box 12995","","GEORGE STREET","QLD","4003","","0","0","0","0","0","0","0"
"2016-17","Environment Victoria","Level 2 60 Leicester St","","CARLTON","VIC","3053","","23981","17028","0","6953","0","0","0"
"2016-17","Fair Agenda Ltd","c/o The Commons","36-38 Gipps Street","Collingwood","VIC","3066","","27317","0","9370","0","0","17947","0"
"2016-17","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","821093","669172","0","73601","78320","0","217418"
"2016-17","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","17156","13825","0","0","0","3331","0"
"2016-17","Industry Super Australia","Level 39, 2 Lonsdale Street","","MELBOURNE","VIC","3000","","244350","0","0","244350","0","0","0"
"2016-17","LET Australia Ltd","PO Box 10944","","BRISBANE","QLD","4000","","3584115","0","282973","2836953","0","464189","0"
"2016-17","Master Builders Australia Ltd","PO Box 7170","","YARRALUMLA","ACT","2600","","50000","0","21000","29000","0","0","0"
"2016-17","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","1297025","0","491185","803079","0","2761","0"
"2016-17","National Civic Council","PO Box 251","","BALWYN","VIC","3103","","25632","25632","0","0","0","0","0"
"2016-17","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","17890","0","17890","0","0","0","0"
"2016-17","Queensland Teachers Union of Employees","PO Box 1750","","MILTON","QLD","4064","","237523","0","0","121000","3505","113018","0"
"2016-17","Save the Children Australia","33 Lincoln Square South","","CARLTON","VIC","3053","","16280","0","0","0","16280","0","0"
"2016-17","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2016-17","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2016-17","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2016-17","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2016-17","The Sunrise Project Australia Limited","L2, 91 Reservoir St","","SURRY HILLS","NSW","2010","","108732","0","0","0","36960","71772","170000"
"2016-17","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","15622","0","15622","0","0","0","0"
"2016-17","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","4974","4974","0","0","0","0","0"
"2016-17","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","425068","333987","52714","952","12000","25415","0"
"2016-17","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","510934","0","260760","158344","91830","0","0"
"2016-17","World Vision Australia","1 Vision Drive","","BURWOOD EAST","VIC","3151","","46985","0","16510","0","6500","23975","46985"
"2016-17","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","34829","0","34829","0","0","0","0"
"2015-16","AEU NSW Teachers Federation","Locked Bag 3010","","DARLINGHURST","NSW","1300","","1325695","843122","235212","141656","42075","63630","0"
"2015-16","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","35000","0","35000","0","0","0","0"
"2015-16","Australasian Meat Industry Employees' Union - QLD Branch","Level 1","39 Lytton Road","EAST BRISBANE","QLD","4169","","21420","21420","0","0","0","0","0"
"2015-16","Australian Automobile Association","GPO Box 1555","","CANBERRA","ACT","2601","","1161175","0","324439","777254","59482","0","0"
