DATE CREATED
2020-11-19T11:38:54+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
Seabird SBE37-IM MicroCat CTD with Pressure 1207

UOM DEFINITIONS
Degrees Celsius

STATION
One Tree Island
LATITUDE
-23.49705
LONGITUDE
152.07895

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_98_99,wtemp_LEVEL1_summer_99_00,wtemp_LEVEL1_summer_00_01,wtemp_LEVEL1_summer_01_02,wtemp_LEVEL1_summer_02_03,wtemp_LEVEL1_summer_03_04,wtemp_LEVEL1_summer_04_05,wtemp_LEVEL1_summer_05_06,wtemp_LEVEL1_summer_06_07,wtemp_LEVEL1_summer_07_08,wtemp_LEVEL1_summer_08_09,wtemp_LEVEL1_summer_09_10,wtemp_LEVEL1_summer_10_11,wtemp_LEVEL1_summer_11_12,wtemp_LEVEL1_summer_12_13,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
12-JAN,9,26.285461574074073,,,,,,,,,,,,,,,27.6673,,27.9955,27.1984,,28.1413,,
13-JAN,9,26.319114814814814,,,,,,,,,,,,,,,27.5019,,28.6035,27.3306,,28.6409,,
14-JAN,9,26.33565939675174,,,,,,,,,,,,,,,27.0797,,28.7447,27.2331,,28.3224,,
15-JAN,9,26.365347453703702,,,,,,,,,,,,,,,27.115,,28.9758,27.5803,,,
16-JAN,9,26.383901851851853,,,,,,,,,,,,,,,26.0932,,29.0506,27.6059,,,
17-JAN,9,26.454474305555557,,,,,,,,,,,,,,,26.3798,,29.1893,26.102,,,,
18-JAN,9,26.379580324074073,,,,,,,,,,,,,,,27.0356,,28.7972,25.8111,,,,
19-JAN,9,26.367556018518517,,,,,,,,,,,,,,,27.9403,,28.8665,26.0401,,25.9559,,
20-JAN,9,26.363194675925925,,,,,,,,,,,,,,,28.9215,,28.3339,26.0668,,,
21-JAN,9,26.347626388888887,,,,,,,,,,,,,,,28.9667,,27.5138,26.4333,,26.6154,,
22-JAN,9,26.423550694444444,,,,,,,,,,,,,,,28.3939,,26.8387,,,26.7754,,
23-JAN,9,26.53887800925926,,,,,,,,,,,,,,,27.6795,,26.7964,,,27.1824,,
24-JAN,9,26.505763194444445,,,,,,,,,,,,,,,26.8767,,27.7129,28.0063,,27.754,,
25-JAN,9,26.44498101851852,,,,,,,,,,,,,,,26.408,,28.9725,28.1168,,27.9117,,
26-JAN,9,26.538693518518517,,,,,,,,,,,,,,,26.8688,,29.0488,28.391,,28.2226,,
27-JAN,9,26.66604212962963,,,,,,,,,,,,,,,27.0061,,29.4066,28.3958,,27.8962,,
